Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 8162, Maricopa County, Arizona",4013816200,66375,1,4558,1256,22.1,3.63,950,3541,106,124,311,0,12,464,4558
"Census Tract 8163, Maricopa County, Arizona",4013816300,56071,1,2881,1618,68.4,1.78,1152,2826,27,0,9,0,0,19,2881
"Census Tract 8164, Maricopa County, Arizona",4013816400,88056,1,7643,2214,32.5,3.45,1966,6784,34,41,474,80,71,159,7643
"Census Tract 8165, Maricopa County, Arizona",4013816500,106481,1,4006,1238,40.8,3.23,1006,3545,116,11,63,0,62,209,4006
"Census Tract 8166, Maricopa County, Arizona",4013816600,97306,1,5034,1187,24,4.24,1132,4650,118,20,46,0,200,0,5034
"Census Tract 8167, Maricopa County, Arizona",4013816700,100202,1,2524,641,27.4,3.93,570,1916,137,36,123,0,239,73,2524
"Census Tract 8168, Maricopa County, Arizona",4013816800,88984,1,2954,897,32.4,3.29,460,2177,157,181,24,0,287,128,2954
"Census Tract 8169, Maricopa County, Arizona",4013816900,76838,1,4581,1229,26.7,3.73,884,3831,194,156,14,0,318,68,4581
"Census Tract 8170, Maricopa County, Arizona",4013817000,124219,1,3430,1089,39.3,3.15,1095,3333,14,13,0,25,0,45,3430
"Census Tract 8171, Maricopa County, Arizona",4013817100,61220,1,7848,2532,28.6,3.1,1276,6836,92,18,93,0,745,64,7848
"Census Tract 8172, Maricopa County, Arizona",4013817200,82321,1,6450,1842,33.7,3.5,1066,5592,219,46,69,0,393,131,6450
"Census Tract 8173, Maricopa County, Arizona",4013817300,55420,1,5180,2966,71.1,1.75,2328,4926,30,49,58,0,79,38,5180
"Census Tract 8174, Maricopa County, Arizona",4013817400,42401,1,2788,1730,73.7,1.61,761,2753,0,0,14,0,0,21,2788
"Census Tract 8175, Maricopa County, Arizona",4013817500,60238,1,2521,1460,73.8,1.73,745,2492,0,0,0,10,0,19,2521
"Census Tract 8176, Maricopa County, Arizona",4013817600,48611,1,1072,312,31.9,3.44,130,712,0,14,14,0,332,0,1072
"Census Tract 820.02, Maricopa County, Arizona",4013082002,41654,1,5672,2050,31.2,2.77,481,4261,723,271,85,0,159,173,5672
